"class_code"	"definition"	"description"	 
"L4-6"	"'An ordinary chondrite from the L group that is a breccia of components ranging from petrologic type 4 to type 6.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"Mesosiderite-B1"	"'A mesosiderite of petrologic class B and metamorphic grade 1.'"	"mesosiderite: A brecciated meteorite containing subequal silicate and metallic components; the silicates are dominantly igneous rock fragments.<br><br>"	
"Aubrite"	"'An achondrite belonging to the aubrite group.'"	"achondrite: A stony meteorite that lacks chondrules and originated on a differentiated parent body.<br><br>aubrite: Aubrites, named after the Aubres, France, fall of 1836, are enstatite achondrites. Most are breccias (Shallowater being a notable exception) containing igneous and impact-melted clasts.  Like enstatite chondrites, aubrites have highly reduced mineralogy, but they probably do not come from the same parent asteroid as either EH or EL chondrites.<br><br>aubrite: Aubrites, named after the Aubres, France, fall of 1836, are enstatite achondrites. Most are breccias (Shallowater being a notable exception) containing igneous and impact-melted clasts.  Like enstatite chondrites, aubrites have highly reduced mineralogy, but they probably do not come from the same parent asteroid as either EH or EL chondrites.<br><br>"	
"H3.7/3.8"	"'An ordinary chondrite from the H group that petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"Stone-ung"	"'A stony meteorite that is ungrouped.'"	"ungrouped: Describes meteorites which have been well-enough characterized to determine that they do not fit into any of the established groups.<br><br>"	
"H5/6"	"'An ordinary chondrite from the H group that is either petrologic type 5 or type 6.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"Enst achon-ung"	"'An enstatite-rich achondrite that is ungrouped.'"	"achondrite: A stony meteorite that lacks chondrules and originated on a differentiated parent body.<br><br>ungrouped: Describes meteorites which have been well-enough characterized to determine that they do not fit into any of the established groups.<br><br>ungrouped: Describes meteorites which have been well-enough characterized to determine that they do not fit into any of the established groups.<br><br>"	
"L/LL3.10"	"'An ordinary chondrite from either the L group or LL group that is petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>LL group: The low-iron, low metal (LL) chemical group of ordinary chondrites, distinguished by their low siderophile element content, fairly large chondrules (~0.9 mm), and oxygen isotope compositions that are further above the terrestrial fractionation line than those of other ordinary chondrites. .<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"H/L3"	"'An ordinary chondrite from either the H group or L group that is petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"EH-imp melt"	"'An enstatite chondrite of the EH group which has been impact melted.'"	"enstatite chondrite: A major class of chondrites that mostly have sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot near the terrestrial fractionation line, and highly reduced mineral assemblages (containing little FeO, Si-bearing metal, and sulfides of elements normally considered lithophile).<br><br>EH group: The high-iron (EH) chemical group of enstatite chondrites, distinguished by small chondrules (0.2 mm), abundant metal (~10 vol%) that is rich in Si (~3 wt%), and an extremely reduced mineral assemblage including niningerite (MgS) and perryite (Fe-Ni silicide).<br><br>EH group: The high-iron (EH) chemical group of enstatite chondrites, distinguished by small chondrules (0.2 mm), abundant metal (~10 vol%) that is rich in Si (~3 wt%), and an extremely reduced mineral assemblage including niningerite (MgS) and perryite (Fe-Ni silicide).<br><br>"	
"L6-melt breccia"	"'An ordinary chondrite from the L group that is petrologic type 6 and is a breccia with melted material forming the matrix.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>L group: The low-iron (L) chemical group of ordinary chondrites, distinguished by their relatively low siderophile element content, moderate sized chondrules (~0.7 mm), and oxygen isotope compositions that intermediate between H and LL group ordinary chondrites.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"H5-6"	"'An ordinary chondrite from the H group that is a breccia of type 5 and type 6 components.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>type 6: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize all mineral compositions, convert all low-Ca pyroxene to orthopyroxene, coarsen secondary phases such as feldspar to sizes ≥50 µm, and obliterate many chondrule outlines; no melting has occurred.<br><br>"	
"H3.4/3.5"	"'An ordinary chondrite from the H group that is petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"H4/5"	"'An ordinary chondrite from the H group that is either petrologic type 4 or type 5.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>"	
"Iron, IAB-sHL-an"	"'An iron meteorite belonging to the high-Au, low-Ni subgroup (sHL) of the IAB complex, but with anomalous properties.'"	"iron meteorite: A meteorite that is dominantly composed of Fe-Ni metal and that crystallized from a melt.<br><br>IAB complex: An association of iron meteorites, including the former groups IAB and IIICD.  The new term 'IAB complex' includes a variety of newly defined groups, including the 'IAB main group', grouplets, and ungrouped meteorites (see Wasson and Kallemeyn (2002) Geochimica et Cosmochimica Acta, Vol. 66, No. 13, pp. 2445-2473.<br><br>IAB complex: An association of iron meteorites, including the former groups IAB and IIICD.  The new term 'IAB complex' includes a variety of newly defined groups, including the 'IAB main group', grouplets, and ungrouped meteorites (see Wasson and Kallemeyn (2002) Geochimica et Cosmochimica Acta, Vol. 66, No. 13, pp. 2445-2473.<br><br>"	
"Iron, IAB-MG"	"'An iron meteorite belonging to the main group (MG) of the IAB complex.'"	"iron meteorite: A meteorite that is dominantly composed of Fe-Ni metal and that crystallized from a melt.<br><br>IAB complex: An association of iron meteorites, including the former groups IAB and IIICD.  The new term 'IAB complex' includes a variety of newly defined groups, including the 'IAB main group', grouplets, and ungrouped meteorites (see Wasson and Kallemeyn (2002) Geochimica et Cosmochimica Acta, Vol. 66, No. 13, pp. 2445-2473.<br><br>IAB complex: An association of iron meteorites, including the former groups IAB and IIICD.  The new term 'IAB complex' includes a variety of newly defined groups, including the 'IAB main group', grouplets, and ungrouped meteorites (see Wasson and Kallemeyn (2002) Geochimica et Cosmochimica Acta, Vol. 66, No. 13, pp. 2445-2473.<br><br>"	
"C4/5"	"'A carbonaceous chondrite that is either petrologic type 4 or type 5.'"	"carbonaceous chondrite: A major class of chondrites that mostly have Mg/Si ratios near the solar value and oxygen isotope compositions that plot below the terrestrial fractionation line.<br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 4: Designates chondrites that are characterized by abundant chondrules, and have been metamorphosed under conditions sufficient to homogenize olivine compositions and recrystallize fine-grained matrix.  Some of the low-Ca pyroxene grains may be monoclinic and exhibit polysynthetic twinning.  Primary igneous chondrule glass is absent.<br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>type 5: Designates chondrites that have been metamorphosed under conditions sufficient to homogenize olivine and pyroxene, convert all low-Ca pyroxene to orthopyroxene, cause the growth of various secondary minerals, and blur chondrule outlines.  <br><br>"	
"H3.0"	"'An ordinary chondrite from the H group that is petrologic type 3.'"	"ordinary chondrite: A major class of chondrites, distinguished by sub-solar Mg/Si and refractory/Si ratios, oxygen isotope compositions that plot above the terrestrial fractionation line, and a large volume percentage of chondrules, with only 10-15 vol% fine-grained matrix.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>H group: The high-iron (H) chemical group of ordinary chondrites, distinguished by their high siderophile element content, relatively small chondrules (~0.3 mm), and oxygen isotope compositions that are closer to the terrestrial fractionation line than those of other ordinary chondrites.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>type 3: Designates chondrites that are characterized by abundant chondrules, low degrees of aqueous alteration, and unequilibrated mineral assemblages.  Many of the low-Ca pyroxene grains are monoclinic and exhibit polysynthetic twinning.  The type 3 chondrites may be divided into subtypes ranging from 3.00 (least metamorphosed) to 3.9 (nearly metamorphosed to type 4 levels).  If primary igneous glass occurs in the chondrules, it belongs to type 3.<br><br>"	
"Iron, IAB-sHH"	"'An iron meteorite belonging to the high-Au, high-Ni subgroup (sHH) of the IAB complex.'"	"iron meteorite: A meteorite that is dominantly composed of Fe-Ni metal and that crystallized from a melt.<br><br>IAB complex: An association of iron meteorites, including the former groups IAB and IIICD.  The new term 'IAB complex' includes a variety of newly defined groups, including the 'IAB main group', grouplets, and ungrouped meteorites (see Wasson and Kallemeyn (2002) Geochimica et Cosmochimica Acta, Vol. 66, No. 13, pp. 2445-2473.<br><br>IAB complex: An association of iron meteorites, including the former groups IAB and IIICD.  The new term 'IAB complex' includes a variety of newly defined groups, including the 'IAB main group', grouplets, and ungrouped meteorites (see Wasson and Kallemeyn (2002) Geochimica et Cosmochimica Acta, Vol. 66, No. 13, pp. 2445-2473.<br><br>"	
